part_id,machine_id,temperature_c,pressure_bar,cycle_time_s,shift,material_batch,operator_experience_years,vibration_mm_s,humidity_percent,scrap
P000126,M2,193.5,5.81,50.3,early,B5,1.8,2.98,41.1,0
P000127,M2,188.3,5.76,47.9,late,B3,2.0,2.69,39.7,0
P000128,M1,185.4,6.17,44.7,early,B1,12.0,1.96,52.3,1
P000129,M1,188.9,5.8,50.5,night,B2,3.5,2.76,55.0,0
P000130,M3,186.7,5.99,43.6,night,B3,1.1,2.57,43.1,1
P000131,M1,185.6,5.86,45.7,early,B4,5.9,2.12,52.9,0
P000132,M4,183.0,6.29,53.2,early,B5,8.1,2.01,57.6,0
P000133,M3,193.9,5.69,40.9,early,B1,6.3,1.59,45.1,0
P000134,M2,183.0,5.7,46.5,late,B2,3.3,2.76,36.5,0
P000135,M3,187.1,6.06,49.9,night,B2,3.3,2.19,37.5,0
P000136,M1,183.5,5.69,48.0,late,B5,2.5,2.83,42.6,0
P000137,M4,186.5,5.97,50.2,early,B1,1.5,2.95,44.4,0
P000138,M2,193.8,6.62,43.2,early,B2,4.7,2.77,47.7,0
P000139,M4,182.3,5.46,48.0,early,B2,3.2,2.46,47.9,0
P000140,M1,187.3,6.34,44.9,night,B1,1.2,1.78,45.8,1
P000141,M2,188.5,5.63,56.8,late,B4,3.5,3.23,53.4,1
P000142,M2,183.5,6.27,51.3,late,B3,2.2,2.72,41.9,0
P000143,M4,190.9,6.04,46.7,early,B3,4.5,2.77,58.1,0
P000144,M3,186.9,6.01,47.1,night,B5,4.2,2.83,55.5,0
P000145,M2,184.6,5.75,48.4,early,B3,2.8,2.5,54.9,0
P000146,M2,193.1,5.71,50.9,night,B2,3.7,2.38,42.7,0
P000147,M2,182.4,5.55,44.9,night,B2,3.9,3.86,47.1,0
P000148,M3,182.8,5.8,51.2,late,B5,6.8,2.57,53.8,0
P000149,M2,184.6,5.74,43.2,night,B3,3.6,2.62,46.4,0
P000150,M1,188.1,5.87,46.8,early,B1,2.6,2.86,42.4,0
P000151,M4,181.4,5.31,43.7,late,B4,3.1,2.36,42.1,0
P000152,M4,188.2,5.81,47.0,early,B4,10.7,2.65,42.5,0
P000153,M1,187.3,6.24,49.8,late,B2,1.8,2.04,38.7,0
P000154,M3,180.9,6.13,39.5,early,B3,3.2,2.29,71.0,0
P000155,M1,194.1,5.81,45.4,early,B3,3.2,2.18,32.4,0
P000156,M3,178.9,6.7,40.5,early,B1,3.3,1.96,40.2,0
P000157,M2,179.3,5.6,47.1,early,B1,0.8,2.86,52.8,1
P000158,M3,187.7,5.77,40.5,late,B4,1.4,2.01,42.5,1
P000159,M3,171.2,5.29,46.6,late,B4,3.0,2.56,45.2,0
P000160,M4,192.2,5.66,45.2,early,B4,2.5,2.36,51.2,0
P000161,M1,184.6,6.43,48.8,night,B2,4.5,1.53,56.3,0
P000162,M4,176.2,5.67,51.5,night,B3,7.4,2.78,45.8,1
P000163,M1,178.8,5.27,46.0,early,B5,4.7,2.59,55.4,0
P000164,M1,175.0,6.11,49.4,late,B2,4.0,3.31,34.4,0
P000165,M3,185.1,5.94,51.3,late,B4,5.0,2.31,43.2,0
P000166,M2,179.7,6.09,44.7,late,B1,4.3,2.83,52.0,0
P000167,M4,186.8,5.7,52.3,early,B1,3.6,2.72,63.8,0
P000168,M4,182.3,5.45,46.7,late,B5,6.6,2.96,40.3,0
P000169,M2,184.4,5.74,44.5,early,B1,3.0,3.18,38.9,0
P000170,M4,186.8,5.99,47.9,early,B4,1.4,2.64,50.7,0
P000171,M2,190.4,5.77,47.9,late,B3,2.4,2.74,48.4,0
P000172,M3,189.3,5.94,40.7,late,B5,2.2,2.68,42.3,0
P000173,M2,183.5,5.61,44.0,night,B3,12.0,2.72,38.3,0
P000174,M4,183.8,5.95,53.0,early,B4,7.7,1.92,43.9,0
P000175,M1,180.5,5.8,47.1,early,B5,4.0,1.62,52.2,0
P000176,M1,184.9,5.55,51.6,early,B5,2.2,2.17,45.3,0
P000177,M2,182.7,5.85,46.6,early,B4,6.6,2.8,57.4,0
P000178,M4,181.7,5.66,43.8,early,B1,3.9,3.61,46.9,0
P000179,M4,181.7,6.02,40.4,late,B1,3.0,2.45,52.8,0
P000180,M3,184.6,6.11,49.7,late,B3,3.9,2.32,50.2,0
P000181,M4,184.0,5.98,48.4,late,B4,3.0,2.32,44.8,0
P000182,M4,186.8,5.23,45.3,early,B4,5.0,2.78,54.7,0
P000183,M3,182.4,5.46,43.0,early,B4,1.3,2.43,38.3,0
P000184,M2,183.8,5.58,52.5,late,B1,5.0,2.46,43.6,0
P000185,M4,185.1,5.52,46.1,early,B1,3.0,2.04,44.7,0
P000186,M3,178.0,5.61,45.4,night,B1,6.7,2.12,51.1,0
P000187,M2,190.1,6.12,45.9,early,B3,7.8,2.37,53.0,0
P000188,M1,182.4,6.04,44.5,late,B4,8.9,2.2,41.5,0
P000189,M3,184.1,5.65,48.1,night,B1,12.0,2.36,40.4,0
P000190,M2,188.2,6.01,42.8,late,B5,8.7,2.52,48.6,0
P000191,M4,192.8,5.92,47.1,late,B2,6.5,3.15,35.7,0
P000192,M1,186.1,5.79,49.6,late,B4,1.5,2.82,56.1,0
P000193,M1,184.4,6.2,45.7,early,B4,0.4,2.2,46.2,0
P000194,M4,180.2,5.57,50.8,late,B1,7.1,2.07,38.6,0
P000195,M1,188.4,5.82,51.1,night,B5,1.9,2.29,38.5,1
P000196,M1,182.5,5.43,49.4,night,B5,12.0,2.24,50.5,0
P000197,M3,174.6,5.45,44.0,late,B5,1.0,2.27,50.3,0
P000198,M4,182.9,5.32,46.7,early,B1,6.4,2.32,41.9,0
P000199,M1,185.1,5.45,47.3,night,B2,4.2,1.83,47.1,0
P000200,M2,182.5,5.83,46.4,late,B2,1.1,2.77,39.0,0
P000201,M4,183.4,5.69,44.9,early,B3,4.2,2.34,45.9,0
P000202,M4,183.6,5.71,44.7,early,B5,2.1,2.38,59.8,0
P000203,M3,182.7,5.7,55.7,early,B4,3.5,2.34,65.0,0
P000204,M1,190.8,6.42,45.0,late,B4,3.5,2.27,46.3,0
P000205,M1,176.8,5.4,50.1,early,B3,2.1,2.33,51.5,0
P000206,M1,195.2,5.36,42.7,early,B5,2.8,2.12,51.1,0
P000207,M1,183.8,5.5,52.5,early,B5,2.0,2.46,34.2,0
P000208,M3,186.2,5.77,44.6,night,B5,0.8,1.98,38.8,0
P000209,M1,184.7,5.98,46.2,early,B5,4.0,1.81,29.5,0
P000210,M3,173.5,6.02,39.0,early,B4,8.7,1.9,51.6,0
P000211,M3,177.2,6.13,50.2,late,B1,2.1,2.0,63.6,0
P000212,M3,180.1,5.76,51.1,early,B2,11.5,1.72,56.5,0
P000213,M1,189.5,5.66,41.5,night,B4,12.0,1.54,48.4,0
P000214,M4,176.4,6.37,51.3,night,B2,2.7,2.73,47.2,0
P000215,M3,178.3,4.83,40.9,late,B1,3.2,2.87,45.2,0
P000216,M3,183.9,5.82,48.4,late,B5,2.7,2.55,56.5,0
P000217,M1,186.6,5.95,44.9,early,B3,1.5,2.08,49.7,0
P000218,M1,186.4,6.46,51.1,early,B5,3.2,1.53,48.5,0
P000219,M4,178.6,5.22,47.7,early,B2,2.9,2.59,39.2,0
P000220,M2,178.2,5.65,51.7,early,B2,3.9,2.03,52.8,0
P000221,M2,190.0,5.32,52.9,early,B2,4.1,2.71,46.8,0
P000222,M2,194.9,5.17,47.1,late,B2,1.4,2.39,51.2,0
P000223,M3,181.1,5.73,45.9,early,B3,5.6,1.27,56.0,0
P000224,M4,177.7,6.09,42.6,early,B2,3.1,3.17,34.9,0
P000225,M2,184.6,6.22,47.1,late,B5,1.6,2.18,45.6,0
P000226,M4,186.2,5.61,54.1,late,B2,3.1,2.34,44.5,0
P000227,M1,182.7,6.03,48.9,early,B3,4.2,2.24,43.8,0
P000228,M3,190.7,5.73,42.0,early,B5,9.7,2.09,39.1,0
P000229,M3,188.1,5.99,52.2,early,B3,8.8,2.51,42.2,0
P000230,M1,185.0,6.2,47.5,early,B1,2.5,1.97,39.2,0
P000231,M1,173.3,5.73,49.2,night,B1,3.3,2.47,54.6,0
P000232,M2,183.2,6.18,50.1,night,B3,1.9,2.89,51.0,1
P000233,M4,181.0,5.38,48.4,late,B4,4.7,1.88,50.5,0
P000234,M3,178.9,6.03,38.4,late,B5,2.6,2.41,32.6,0
P000235,M4,185.0,6.16,51.0,late,B1,3.2,2.03,63.6,0
P000236,M4,185.2,6.13,38.2,late,B3,7.3,1.98,44.7,0
P000237,M2,177.8,5.39,52.1,early,B2,1.4,2.88,62.0,0
P000238,M4,188.4,5.73,47.2,early,B3,8.8,2.32,54.0,0
P000239,M1,184.1,5.91,49.2,late,B3,5.0,2.47,46.1,0
P000240,M1,186.0,5.96,46.6,late,B2,8.5,2.47,64.3,0
P000241,M4,188.1,5.84,50.8,early,B1,6.1,1.86,52.5,0
P000242,M4,179.8,6.3,46.9,early,B1,6.9,2.83,46.2,0
P000243,M1,190.9,5.35,47.1,early,B3,3.8,2.43,44.9,0
P000244,M3,182.2,5.72,47.5,early,B2,1.6,2.04,56.3,0
P000245,M3,191.3,5.21,53.1,late,B2,2.4,2.24,43.7,0
P000246,M4,179.1,6.02,49.1,late,B1,2.0,2.85,45.0,0
P000247,M3,190.9,5.99,41.0,late,B1,0.6,2.16,43.2,0
P000248,M2,182.0,6.97,46.1,early,B1,7.3,3.7,42.0,1
P000249,M2,201.0,6.16,50.5,early,B2,3.5,3.42,42.4,1
P000250,M2,181.8,5.92,53.0,night,B1,1.9,2.8,62.2,1
P000251,M3,188.8,5.89,43.3,late,B2,12.0,2.2,56.1,0
P000252,M4,182.0,5.69,55.3,early,B2,12.0,2.42,49.9,0
P000253,M2,190.9,5.85,48.9,early,B2,1.3,2.48,43.6,0
P000254,M1,183.8,5.9,47.6,night,B1,3.2,2.36,43.6,0
P000255,M1,178.0,5.11,41.2,night,B1,3.0,2.61,45.1,0
P000256,M3,167.6,5.87,50.2,night,B5,1.8,1.69,62.3,0
P000257,M4,197.8,5.84,45.1,late,B4,7.2,2.79,50.3,0
P000258,M1,184.4,6.41,43.2,late,B1,0.6,2.72,54.0,0
P000259,M1,167.8,5.75,44.8,late,B2,10.7,2.56,49.6,0
P000260,M3,184.7,5.53,51.3,early,B2,3.9,2.24,40.9,0
P000261,M1,187.8,5.89,47.8,late,B5,12.0,2.54,48.8,0
P000262,M4,180.1,5.83,43.4,late,B5,3.7,3.08,39.4,0
P000263,M2,183.1,5.75,46.2,early,B4,3.0,2.72,57.6,0
P000264,M1,183.9,5.35,51.4,night,B1,7.5,2.31,42.0,1
P000265,M4,190.6,5.75,45.9,early,B3,12.0,3.46,43.4,0
P000266,M1,184.5,5.6,48.1,early,B3,10.8,2.44,54.5,0
P000267,M2,195.0,5.72,51.3,early,B4,0.9,2.3,42.4,0
P000268,M1,190.2,6.06,33.0,night,B5,9.0,2.69,46.2,0
P000269,M1,182.7,5.56,50.8,night,B2,2.9,2.48,26.9,0
P000270,M1,175.4,5.72,42.8,late,B3,3.4,2.01,45.4,0
P000271,M1,182.8,5.99,44.6,night,B2,2.9,1.8,52.8,0
P000272,M1,186.9,5.71,51.8,night,B2,2.4,2.41,43.0,0
P000273,M1,184.3,6.71,51.5,night,B2,3.2,2.27,52.5,0
P000274,M3,186.5,5.89,47.9,night,B4,1.7,1.74,47.9,0
P000275,M3,187.7,5.37,48.8,early,B3,9.1,2.26,56.7,0
P000276,M2,189.9,5.51,51.9,night,B4,6.1,2.68,42.1,0
P000277,M2,185.5,5.47,53.6,late,B4,4.4,2.72,46.1,0
P000278,M3,185.9,5.51,51.9,late,B2,2.9,2.52,36.2,0
P000279,M4,196.3,5.99,47.2,early,B5,2.5,1.71,47.3,0
P000280,M4,175.8,5.41,44.0,late,B1,5.1,2.0,44.6,0
P000281,M1,186.7,5.68,45.0,night,B5,4.5,2.08,55.7,0
P000282,M1,194.1,6.2,46.5,early,B1,7.9,2.9,43.0,0
P000283,M1,177.5,5.62,45.8,night,B2,2.5,3.37,44.6,0
P000284,M1,189.5,6.04,42.2,early,B5,2.3,2.3,42.6,0
P000285,M3,189.2,5.21,47.7,early,B4,5.9,2.32,48.2,0
P000286,M2,178.9,5.67,42.2,early,B2,6.8,1.65,63.9,0
P000287,M1,187.9,5.49,46.3,night,B5,12.0,2.71,25.0,0
P000288,M2,185.5,5.9,48.8,late,B1,0.8,2.95,47.6,0
P000289,M3,182.7,5.44,46.4,early,B4,9.4,2.43,57.4,0
P000290,M1,182.2,6.52,49.2,late,B3,4.2,1.74,43.9,0
P000291,M4,191.2,5.23,49.5,early,B2,2.6,3.39,52.2,0
P000292,M1,183.4,6.2,54.4,late,B5,5.2,2.98,57.4,0
P000293,M4,181.5,6.11,44.8,night,B4,5.1,2.63,45.8,0
P000294,M1,181.5,5.91,47.1,late,B1,2.7,2.75,42.8,1
P000295,M4,182.1,5.82,47.6,night,B1,0.9,2.52,55.5,0
P000296,M4,178.1,6.45,47.4,late,B1,9.4,2.87,52.0,0
P000297,M4,181.4,6.66,42.0,night,B3,2.2,1.91,47.5,0
P000298,M4,184.6,5.73,42.3,early,B3,1.9,1.48,52.9,0
P000299,M4,186.2,5.86,46.8,early,B4,2.3,1.93,55.7,0
P000300,M3,189.6,5.61,40.0,early,B4,6.5,1.94,47.6,0
P000301,M4,185.3,5.39,45.5,late,B1,2.9,2.21,50.4,0
P000302,M1,181.4,5.96,43.5,late,B3,2.4,2.5,52.2,0
P000303,M3,177.4,5.89,44.9,late,B4,4.9,2.18,44.3,0
P000304,M3,184.6,5.24,50.3,early,B5,4.5,2.29,57.5,0
P000305,M4,183.4,5.96,42.7,early,B2,2.4,1.97,39.8,0
P000306,M2,186.5,5.9,51.5,late,B1,0.9,2.18,46.9,0
P000307,M2,188.4,5.59,46.0,night,B1,6.4,2.77,54.1,0
P000308,M3,185.9,5.57,44.3,early,B2,4.5,2.06,39.5,0
P000309,M2,188.5,5.95,50.0,early,B3,0.6,2.75,55.0,0
P000310,M1,183.1,6.36,45.0,early,B2,10.3,2.54,49.5,0
P000311,M2,182.6,5.94,44.8,late,B1,0.6,3.49,58.6,0
P000312,M2,183.6,6.07,46.8,early,B2,2.0,2.74,52.9,0
P000313,M1,188.7,5.51,39.2,early,B2,2.1,3.12,46.7,0
P000314,M2,184.7,5.66,49.6,late,B3,2.4,2.93,49.9,0
P000315,M2,179.6,6.01,36.4,early,B1,2.4,3.06,50.1,0
P000316,M2,193.4,5.32,51.6,early,B4,1.4,3.22,64.2,0
P000317,M2,181.8,5.87,50.5,early,B3,4.2,3.07,48.7,0
P000318,M3,183.2,5.97,52.1,night,B2,7.2,1.94,46.9,0
P000319,M2,189.7,5.79,56.5,late,B5,4.2,3.24,46.4,0
P000320,M4,184.0,5.91,50.4,early,B4,4.7,2.33,49.5,0
P000321,M4,170.4,5.82,44.4,early,B1,3.0,2.64,38.9,0
P000322,M2,189.1,5.58,56.5,late,B1,4.1,2.81,44.9,0
P000323,M2,194.3,5.39,43.7,night,B1,4.9,3.26,39.9,0
P000324,M3,187.3,5.77,38.8,early,B3,6.1,2.48,40.9,0
P000325,M4,172.3,6.26,53.8,early,B2,2.2,1.88,54.4,0
P000326,M3,194.7,6.16,48.3,early,B2,2.0,3.24,48.2,0
P000327,M4,176.7,5.68,39.7,late,B3,0.4,2.88,42.1,0
P000328,M3,177.1,5.67,40.8,night,B3,12.0,2.05,46.8,0
P000329,M3,187.3,5.65,48.1,late,B1,11.7,1.79,46.0,0
P000330,M2,189.5,5.65,44.9,early,B1,3.6,3.18,48.4,1
P000331,M3,183.4,5.9,43.2,night,B4,3.7,1.84,35.9,0
P000332,M1,180.9,6.17,53.5,late,B5,9.8,2.66,39.3,0
P000333,M3,190.3,6.59,54.2,early,B5,1.4,2.78,36.5,0
P000334,M4,183.8,5.51,47.4,early,B5,1.9,2.21,40.8,0
P000335,M1,175.4,6.03,45.4,early,B3,10.2,1.97,42.2,0
P000336,M3,189.8,5.99,49.4,night,B5,3.0,2.09,39.7,0
P000337,M1,185.2,5.68,43.9,late,B5,1.6,1.86,54.1,0
P000338,M3,189.1,5.44,37.5,late,B5,5.1,2.4,62.7,0
P000339,M1,187.1,5.9,35.5,night,B1,2.3,2.47,54.6,0
P000340,M4,197.2,6.54,46.5,early,B1,9.1,2.83,43.5,0
P000341,M1,182.3,5.89,49.4,early,B3,4.1,1.93,49.7,0
P000342,M4,184.1,5.52,46.9,early,B3,2.3,2.88,47.5,0
P000343,M4,188.0,5.74,49.9,night,B5,2.4,2.06,43.1,1
P000344,M3,181.3,5.4,49.5,late,B2,5.0,2.68,58.6,0
P000345,M4,188.4,5.81,52.1,early,B5,3.2,1.83,64.1,0
P000346,M4,167.8,6.04,47.5,early,B5,2.9,3.21,36.2,0
P000347,M4,183.6,5.56,47.8,late,B5,6.2,2.27,59.5,0
P000348,M2,186.4,4.66,48.1,late,B1,9.9,3.02,43.3,0
P000349,M3,182.2,5.9,45.0,late,B2,5.7,2.61,45.9,0
P000350,M1,179.2,5.62,40.0,early,B2,2.1,1.73,50.3,1
P000351,M3,188.0,5.54,50.5,night,B4,1.6,2.68,60.4,0
P000352,M1,181.2,5.53,44.5,night,B4,6.0,2.05,50.2,0
P000353,M3,184.1,5.94,44.3,late,B3,5.7,2.16,51.3,0
P000354,M3,182.8,5.66,43.9,late,B1,2.8,2.0,54.8,0
P000355,M2,189.8,6.13,43.1,night,B3,3.3,3.48,56.1,0
P000356,M3,190.9,6.13,45.7,night,B4,2.2,1.77,52.1,0
P000357,M4,185.1,5.71,48.8,late,B3,1.6,2.69,56.1,0
P000358,M4,188.6,5.62,44.1,late,B2,2.4,2.22,43.2,0
P000359,M2,187.8,5.84,52.1,early,B3,0.3,3.24,34.1,0
P000360,M3,180.2,5.75,44.6,night,B4,8.0,3.34,62.6,1
P000361,M4,183.2,5.19,41.0,late,B3,1.2,2.22,39.7,0
P000362,M1,182.4,6.47,51.2,early,B5,3.7,2.36,43.7,0
P000363,M1,187.1,6.05,46.8,early,B2,0.5,2.13,45.3,0
P000364,M1,184.6,5.64,49.3,night,B4,5.5,2.77,44.0,0
